"","X","date","year","month","day","site","mpa","observer","transect","common_name","sizeclass","count","fish_spp","common_family","foodweb","a","b","biomass","density","Site_Name"
"3749",3749,"","2006",NA,NA,"Sailfin","Outside",NA,2,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Sailfin Reef"
"3750",3750,"","2009",NA,NA,"Coral City","Outside",NA,2,"Great Barracuda",10,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,20.03216,0.066666667,"Coral City"
"3751",3751,"","2009",NA,NA,"Coral City","Outside",NA,3,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Coral City"
"3752",3752,"","2009",NA,NA,"Coral City","Outside",NA,4,"Great Barracuda",5,3,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,3.91553,0.1,"Coral City"
"3753",3753,"","2009",NA,NA,"Coral City","Outside",NA,5,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"Coral City"
"3754",3754,"","2009",NA,NA,"Coral City","Outside",NA,6,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Coral City"
"3755",3755,"","2009",NA,NA,"Coral City","Outside",NA,8,"Great Barracuda",40,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,589.86716,0.033333333,"Coral City"
"3756",3756,"","2009",NA,NA,"Coral City","Outside",NA,9,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"Coral City"
"3757",3757,"","2009",NA,NA,"Coral City","Outside",NA,10,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"Coral City"
"3758",3758,"","2009",NA,NA,"Coral City","Outside",NA,10,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Coral City"
"3759",3759,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,1,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Grundy's Gardens"
"3760",3760,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,2,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Grundy's Gardens"
"3761",3761,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,3,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Grundy's Gardens"
"3762",3762,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,3,"Great Barracuda",20,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,76.86454,0.033333333,"Grundy's Gardens"
"3763",3763,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,4,"Great Barracuda",5,3,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,3.91553,0.1,"Grundy's Gardens"
"3764",3764,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,4,"Great Barracuda",10,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,20.03216,0.066666667,"Grundy's Gardens"
"3765",3765,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,6,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Grundy's Gardens"
"3766",3766,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,7,"Great Barracuda",5,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,2.61036,0.066666667,"Grundy's Gardens"
"3767",3767,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,7,"Great Barracuda",10,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,20.03216,0.066666667,"Grundy's Gardens"
"3768",3768,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,7,"Great Barracuda",20,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,76.86454,0.033333333,"Grundy's Gardens"
"3769",3769,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,8,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"Grundy's Gardens"
"3770",3770,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,8,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Grundy's Gardens"
"3771",3771,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,9,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Grundy's Gardens"
"3772",3772,"","2009",NA,NA,"Jigsaw","Outside",NA,2,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"Jigsaw Puzzle"
"3773",3773,"","2009",NA,NA,"Jigsaw","Outside",NA,3,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Jigsaw Puzzle"
"3774",3774,"","2009",NA,NA,"Meadows","Inside ",NA,2,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"The Meadows"
"3775",3775,"","2009",NA,NA,"Meadows","Inside ",NA,3,"Great Barracuda",5,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,2.61036,0.066666667,"The Meadows"
"3776",3776,"","2009",NA,NA,"Mixing Bowl","Inside ",NA,1,"Great Barracuda",5,4,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,5.22071,0.133333333,"Sailfin Miniwall"
"3777",3777,"","2009",NA,NA,"Mixing Bowl","Inside ",NA,1,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Sailfin Miniwall"
"3778",3778,"","2009",NA,NA,"Mixing Bowl","Inside ",NA,10,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"Sailfin Miniwall"
"3779",3779,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,2,"Great Barracuda",20,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,76.86454,0.033333333,"Paul's Anchor"
"3780",3780,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,6,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Paul's Anchor"
"3781",3781,"","2009",NA,NA,"Sailfin","Outside",NA,3,"Great Barracuda",5,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,2.61036,0.066666667,"Sailfin Reef"
"3782",3782,"","2009",NA,NA,"Sailfin","Outside",NA,3,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Sailfin Reef"
"3783",3783,"","2009",NA,NA,"Sailfin","Outside",NA,3,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Sailfin Reef"
"3784",3784,"","2009",NA,NA,"Sailfin","Outside",NA,5,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Sailfin Reef"
"3785",3785,"","2009",NA,NA,"Snapshot","Outside",NA,3,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"Snap Shot"
"3786",3786,"","2009",NA,NA,"Snapshot","Outside",NA,8,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"Snap Shot"
"3787",3787,"","2009",NA,NA,"West Point","Outside",NA,1,"Great Barracuda",5,4,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,5.22071,0.133333333,"West Point"
"3788",3788,"","2009",NA,NA,"West Point","Outside",NA,2,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"West Point"
"3789",3789,"","2009",NA,NA,"West Point","Outside",NA,3,"Great Barracuda",30,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,253.18288,0.033333333,"West Point"
"3790",3790,"","2009",NA,NA,"West Point","Outside",NA,6,"Great Barracuda",20,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,76.86454,0.033333333,"West Point"
"3791",3791,"","2009",NA,NA,"West Point","Outside",NA,8,"Great Barracuda",5,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1.30518,0.033333333,"West Point"
"3792",3792,"","2009",NA,NA,"West Point","Outside",NA,9,"Great Barracuda",5,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,2.61036,0.066666667,"West Point"
"3793",3793,"","2009",NA,NA,"West Point","Outside",NA,9,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"West Point"
"3794",3794,"","2009",NA,NA,"West Point","Outside",NA,10,"Great Barracuda",10,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,10.01608,0.033333333,"West Point"
"3795",3795,"","2013",NA,NA,"Meadows","Inside ",NA,5,"Great Barracuda",50,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1136.76228,0.033333333,"The Meadows"
"3796",3796,"6/13/13","2013",NA,NA,"Mixing Bowl","Inside ",NA,4,"Great Barracuda",50,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1136.76228,0.033333333,"Sailfin Miniwall"
"3797",3797,"6/13/13","2013",NA,NA,"Mixing Bowl","Inside ",NA,5,"Great Barracuda",50,1,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,1136.76228,0.033333333,"Sailfin Miniwall"
"3798",3798,"6/10/13","2013",NA,NA,"Snapshot","Outside",NA,1,"Great Barracuda",50,2,"Sphyraena barracuda","Other Fishes","Carnivore",0.0115,2.94,2273.52455,0.066666667,"Snap Shot"
"3799",3799,"","1999",NA,NA,"Coral City","Outside",NA,11,"Hogfish",30,3,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,1638.39796,0.1,"Coral City"
"3800",3800,"","1999",NA,NA,"Coral City","Outside",NA,11,"Hogfish",40,2,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2566.82457,0.066666667,"Coral City"
"3801",3801,"","1999",NA,NA,"Grundy's Gardens","Inside ",NA,10,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Grundy's Gardens"
"3802",3802,"","1999",NA,NA,"Pauls Anchors","Inside ",NA,2,"Hogfish",30,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,546.13265,0.033333333,"Paul's Anchor"
"3803",3803,"","1999",NA,NA,"Pauls Anchors","Inside ",NA,2,"Hogfish",40,2,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2566.82457,0.066666667,"Paul's Anchor"
"3804",3804,"","1999",NA,NA,"Pauls Anchors","Inside ",NA,5,"Hogfish",40,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,1283.41229,0.033333333,"Paul's Anchor"
"3805",3805,"","2007",NA,NA,"Coral City","Outside",NA,3,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Coral City"
"3806",3806,"","2007",NA,NA,"Meadows","Inside ",NA,4,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"The Meadows"
"3807",3807,"","2009",NA,NA,"Coral City","Outside",NA,2,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Coral City"
"3808",3808,"","2009",NA,NA,"Grundy's Gardens","Inside ",NA,4,"Hogfish",50,2,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,4979.88056,0.066666667,"Grundy's Gardens"
"3809",3809,"","2009",NA,NA,"Jigsaw","Outside",NA,1,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Jigsaw Puzzle"
"3810",3810,"","2009",NA,NA,"Jigsaw","Outside",NA,3,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Jigsaw Puzzle"
"3811",3811,"","2009",NA,NA,"Jigsaw","Outside",NA,6,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Jigsaw Puzzle"
"3812",3812,"","2009",NA,NA,"Meadows","Inside ",NA,7,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"The Meadows"
"3813",3813,"","2009",NA,NA,"Mixing Bowl","Inside ",NA,4,"Hogfish",40,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,1283.41229,0.033333333,"Sailfin Miniwall"
"3814",3814,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,1,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Paul's Anchor"
"3815",3815,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,4,"Hogfish",50,3,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,7469.82085,0.1,"Paul's Anchor"
"3816",3816,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,5,"Hogfish",50,3,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,7469.82085,0.1,"Paul's Anchor"
"3817",3817,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,7,"Hogfish",50,2,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,4979.88056,0.066666667,"Paul's Anchor"
"3818",3818,"","2009",NA,NA,"Pauls Anchors","Inside ",NA,8,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Paul's Anchor"
"3819",3819,"","2009",NA,NA,"Sailfin","Outside",NA,3,"Hogfish",40,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,1283.41229,0.033333333,"Sailfin Reef"
"3820",3820,"","2009",NA,NA,"Snapshot","Outside",NA,5,"Hogfish",40,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,1283.41229,0.033333333,"Snap Shot"
"3821",3821,"","2009",NA,NA,"Snapshot","Outside",NA,6,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"Snap Shot"
"3822",3822,"","2009",NA,NA,"West Point","Outside",NA,6,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"West Point"
"3823",3823,"","2013",NA,NA,"West Point","Outside",NA,3,"Hogfish",50,1,"Lachnolaimus maximus","Other Fishes","Carnivore",0.0224,2.97,2489.94028,0.033333333,"West Point"
"3824",3824,"5/28/12","2012",NA,NA,"ICON","Inside ",NA,4,"Lionfish",40,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,818.29831,0.033333333,"Icon"
"3825",3825,"5/28/12","2012",NA,NA,"ICON","Inside ",NA,6,"Lionfish",30,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,320.34015,0.033333333,"Icon"
"3826",3826,"5/28/12","2012",NA,NA,"ICON","Inside ",NA,8,"Lionfish",40,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,818.29831,0.033333333,"Icon"
"3827",3827,"","2012",NA,NA,"Sailfin","Outside",NA,1,"Lionfish",30,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,320.34015,0.033333333,"Sailfin Reef"
"3828",3828,"","2012",NA,NA,"Sailfin","Outside",NA,3,"Lionfish",30,2,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,640.68029,0.066666667,"Sailfin Reef"
"3829",3829,"5/29/12","2012",NA,NA,"Snapshot","Outside",NA,2,"Lionfish",30,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,320.34015,0.033333333,"Snap Shot"
"3830",3830,"5/29/12","2012",NA,NA,"Snapshot","Outside",NA,2,"Lionfish",40,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,818.29831,0.033333333,"Snap Shot"
"3831",3831,"","2013",NA,NA,"Jigsaw","Outside",NA,1,"Lionfish",20,1,"Pterois volitans","Other Fishes","Carnivore",0.0049,3.26,85.41888,0.033333333,"Jigsaw Puzzle"
"3832",3832,"6/13/13","2013",NA,NA,"Mixing Bowl","Inside ",NA,3,"Porcupinefish",30,1,"Diodon hystrix","Other Fishes","Carnivore",0.0871,2.76,1039.61567,0.033333333,"Sailfin Miniwall"
"3833",3833,"","2013",NA,NA,"Jigsaw","Outside",NA,10,"Sheepshead Porgy",30,1,"Calamus penna","Other Fishes","Carnivore",0.0617,2.69,580.41862,0.033333333,"Jigsaw Puzzle"
"3834",3834,"6/2/12","2012",NA,NA,"Coral City","Outside",NA,9,"Slippery Dick",20,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,104.07814,0.033333333,"Coral City"
"3835",3835,"6/12/13","2013",NA,NA,"Coral City","Outside",NA,1,"Slippery Dick",10,3,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,37.69982,0.1,"Coral City"
"3836",3836,"6/12/13","2013",NA,NA,"Coral City","Outside",NA,2,"Slippery Dick",10,2,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,25.13321,0.066666667,"Coral City"
"3837",3837,"6/12/13","2013",NA,NA,"Coral City","Outside",NA,4,"Slippery Dick",10,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,12.56661,0.033333333,"Coral City"
"3838",3838,"6/12/13","2013",NA,NA,"Coral City","Outside",NA,5,"Slippery Dick",10,2,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,25.13321,0.066666667,"Coral City"
"3839",3839,"6/12/13","2013",NA,NA,"Grundy's Gardens","Inside ",NA,5,"Slippery Dick",20,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,104.07814,0.033333333,"Grundy's Gardens"
"3840",3840,"","2013",NA,NA,"Jigsaw","Outside",NA,5,"Slippery Dick",10,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,12.56661,0.033333333,"Jigsaw Puzzle"
"3841",3841,"6/11/13","2013",NA,NA,"Joy's Joy","Outside",NA,5,"Slippery Dick",10,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,12.56661,0.033333333,"Joy's Joy"
"3842",3842,"6/13/13","2013",NA,NA,"Mixing Bowl","Inside ",NA,5,"Slippery Dick",10,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,12.56661,0.033333333,"Sailfin Miniwall"
"3843",3843,"","2013",NA,NA,"West Point","Outside",NA,5,"Slippery Dick",10,1,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,12.56661,0.033333333,"West Point"
"3844",3844,"","2013",NA,NA,"West Point","Outside",NA,5,"Slippery Dick",20,2,"Halichoeres bivittatus","Other Fishes","Carnivore",0.0112,3.05,208.15627,0.066666667,"West Point"
"3845",3845,"","1999",NA,NA,"Coral City","Outside",NA,7,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"Coral City"
"3846",3846,"","1999",NA,NA,"Coral City","Outside",NA,9,"Spanish Hogfish",30,2,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,1176.7157,0.066666667,"Coral City"
"3847",3847,"","1999",NA,NA,"Jigsaw","Outside",NA,2,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Jigsaw Puzzle"
"3848",3848,"","1999",NA,NA,"Jigsaw","Outside",NA,3,"Spanish Hogfish",40,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,1427.09492,0.033333333,"Jigsaw Puzzle"
"3849",3849,"","1999",NA,NA,"Jigsaw","Outside",NA,9,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Jigsaw Puzzle"
"3850",3850,"","1999",NA,NA,"Joy's Joy","Outside",NA,3,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Joy's Joy"
"3851",3851,"","1999",NA,NA,"Meadows","Inside ",NA,2,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"The Meadows"
"3852",3852,"","1999",NA,NA,"Meadows","Inside ",NA,6,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"The Meadows"
"3853",3853,"","1999",NA,NA,"Mixing Bowl","Inside ",NA,4,"Spanish Hogfish",40,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,1427.09492,0.033333333,"Sailfin Miniwall"
"3854",3854,"","1999",NA,NA,"Nancy's","Inside ",NA,1,"Spanish Hogfish",40,2,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,2854.18985,0.066666667,"Paul's Anchor"
"3855",3855,"","1999",NA,NA,"Nancy's","Inside ",NA,11,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Paul's Anchor"
"3856",3856,"","1999",NA,NA,"Sailfin","Outside",NA,1,"Spanish Hogfish",20,2,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,337.52852,0.066666667,"Sailfin Reef"
"3857",3857,"","1999",NA,NA,"Sailfin","Outside",NA,3,"Spanish Hogfish",20,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,168.76426,0.033333333,"Sailfin Reef"
"3858",3858,"","1999",NA,NA,"West Point","Outside",NA,2,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"West Point"
"3859",3859,"","1999",NA,NA,"West Point","Outside",NA,6,"Spanish Hogfish",20,2,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,337.52852,0.066666667,"West Point"
"3860",3860,"","2006",NA,NA,"Grundy's Gardens","Inside ",NA,3,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Grundy's Gardens"
"3861",3861,"","2006",NA,NA,"Grundy's Gardens","Inside ",NA,8,"Spanish Hogfish",5,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,2.36013,0.033333333,"Grundy's Gardens"
"3862",3862,"","2006",NA,NA,"Grundy's Gardens","Inside ",NA,8,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"Grundy's Gardens"
"3863",3863,"","2006",NA,NA,"Joy's Joy","Outside",NA,6,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"Joy's Joy"
"3864",3864,"","2006",NA,NA,"Meadows","Inside ",NA,10,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"The Meadows"
"3865",3865,"","2006",NA,NA,"Mixing Bowl","Inside ",NA,6,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"Sailfin Miniwall"
"3866",3866,"","2006",NA,NA,"Nancy's","Inside ",NA,4,"Spanish Hogfish",40,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,1427.09492,0.033333333,"Paul's Anchor"
"3867",3867,"","2006",NA,NA,"Pauls Anchors","Inside ",NA,9,"Spanish Hogfish",5,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,2.36013,0.033333333,"Paul's Anchor"
"3868",3868,"","2006",NA,NA,"Snapshot","Outside",NA,2,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Snap Shot"
"3869",3869,"","2006",NA,NA,"Snapshot","Outside",NA,7,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Snap Shot"
"3870",3870,"","2006",NA,NA,"Snapshot","Outside",NA,8,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"Snap Shot"
"3871",3871,"","2006",NA,NA,"Snapshot","Outside",NA,9,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"Snap Shot"
"3872",3872,"","2006",NA,NA,"West Point","Outside",NA,2,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"West Point"
"3873",3873,"","2006",NA,NA,"West Point","Outside",NA,4,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"West Point"
"3874",3874,"","2006",NA,NA,"West Point","Outside",NA,9,"Spanish Hogfish",5,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,2.36013,0.033333333,"West Point"
"3875",3875,"","2006",NA,NA,"West Point","Outside",NA,10,"Spanish Hogfish",5,2,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,4.72026,0.066666667,"West Point"
"3876",3876,"","2006",NA,NA,"West Point","Outside",NA,10,"Spanish Hogfish",10,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,19.95759,0.033333333,"West Point"
"3877",3877,"","2007",NA,NA,"Coral City","Outside",NA,7,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Coral City"
"3878",3878,"","2007",NA,NA,"Coral City","Outside",NA,10,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Coral City"
"3879",3879,"","2007",NA,NA,"Jigsaw","Outside",NA,1,"Spanish Hogfish",20,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,168.76426,0.033333333,"Jigsaw Puzzle"
"3880",3880,"","2007",NA,NA,"Jigsaw","Outside",NA,8,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Jigsaw Puzzle"
"3881",3881,"","2007",NA,NA,"Joy's Joy","Outside",NA,5,"Spanish Hogfish",5,3,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,7.08039,0.1,"Joy's Joy"
"3882",3882,"","2007",NA,NA,"Lucas Ledge","Outside",NA,2,"Spanish Hogfish",40,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,1427.09492,0.033333333,"Luca's Ledges"
"3883",3883,"","2007",NA,NA,"Lucas Ledge","Outside",NA,9,"Spanish Hogfish",30,1,"Bodianus rufus","Other Fishes","Carnivore",0.0166,3.08,588.35785,0.033333333,"Luca's Ledges"
